opportunity_id,product,account,deal_stage,engage_date,close_date,close_value
JSD4APT2,mg special,bioholding,won,2016-11-10,2017-03-12,61.0
AO9Z2D17,gtx plus pro,xx zobam,lost,2016-11-10,2017-03-11,0.0
5M58DTJK,mg special,cheers,won,2016-11-11,2017-03-05,58.0
KNY1OSAB,gtxpro,labdrill,won,2016-11-11,2017-03-14,4899.0
EAZDUUM9,mg advanced,zotware,lost,2016-11-11,2017-03-01,0.0
2STUSOFE,mg special,dambase,won,2016-11-11,2017-03-03,67.0
JYKM0B00,gtxpro,xx holding,won,2016-11-12,2017-03-06,4338.0
KU28360J,gtx basic,fasehatice,won,2016-11-12,2017-03-19,578.0
N4SD17JR,gtx basic,acme corporation,won,2016-11-12,2017-03-01,556.0
E67P9Y3Q,gtx basic,green plus,won,2016-11-12,2017-03-03,635.0
AT3MMVIS,mg advanced,the new york inquirer,won,2016-11-12,2017-03-07,3045.0
REJ11LRY,gtx plus basic,mathtouch,won,2016-11-13,2017-03-14,1233.0
ERV0CAZ7,mg special,zumgoity,won,2016-11-13,2017-03-09,60.0
8SOQADK7,mg special,gogozoom,lost,2016-11-14,2017-03-30,0.0
TCHFT25B,gtx basic,stanredtax,lost,2016-11-14,2017-03-08,0.0
CZVN09WN,gtx plus basic,konmatfix,won,2016-11-14,2017-03-20,1170.0
EG7OFLFR,gtx basic,,engaging,2016-11-14,,
30UQWUKB,gtx plus basic,genco pura olive oil company,won,2016-11-15,2017-03-20,1162.0
OLVI7L8M,gtxpro,,engaging,2016-11-16,,
97UN20YY,mg advanced,conecom,won,2016-11-16,2017-03-14,3725.0
JXLERZ9O,gtx basic,golddex,won,2016-11-16,2017-03-31,559.0
6ROE69W5,gtx basic,plexzap,lost,2016-11-16,2017-03-11,0.0
0DFXFKT7,gtx plus basic,rundofase,lost,2016-11-17,2017-03-21,0.0
XKMZVSN4,gtx plus pro,sonron,won,2016-11-17,2017-03-05,4667.0
IU8V0BZK,gtx plus basic,finhigh,won,2016-11-17,2017-03-17,903.0
XY42936P,gtx plus basic,finjob,won,2016-11-17,2017-03-13,1180.0
XRN54MBM,gtx basic,ron tech,won,2016-11-17,2017-03-05,487.0
2V848WZD,mg advanced,stanredtax,won,2016-11-18,2017-03-04,3180.0
ONYNTUCG,gtxpro,funholding,lost,2016-11-19,2017-03-17,0.0
HIOHX80Y,mg advanced,gogozoom,won,2016-11-19,2017-03-18,3563.0
F5U1ACDD,gtx plus basic,,engaging,2016-11-19,,
LPKT07PV,gtxpro,opentech,won,2016-11-20,2017-03-23,4704.0
WPB2SLIG,gtx plus pro,silis,won,2016-11-20,2017-03-14,5585.0
XUSUEAV7,gtk 500,zoomit,won,2016-11-20,2017-03-09,25897.0
ZZY4516R,mg advanced,,engaging,2016-11-20,,
3TYPII47,gtx plus basic,goodsilron,won,2016-11-20,2017-03-03,1207.0
7WAX8Z8O,mg advanced,cancity,lost,2016-11-20,2017-03-08,0.0
MYDUMR3R,gtx basic,rangreen,won,2016-11-20,2017-03-04,559.0
0DRC1U9Q,gtx basic,green plus,engaging,2016-11-20,,
37JFKD4I,gtx plus basic,dambase,won,2016-11-20,2017-03-09,1033.0
25YKPHX8,gtx basic,kan code,won,2016-11-21,2017-03-21,462.0
BXXMA7F3,mg advanced,nam zim,lost,2016-11-21,2017-03-01,0.0
GIUUTBXM,gtxpro,y corporation,won,2016-11-21,2017-03-14,5539.0
MFX2LR1Q,mg advanced,ron tech,won,2016-11-21,2017-03-15,3573.0
DUHE9FLY,gtxpro,conecom,won,2016-11-21,2017-03-01,4926.0
96BSG7R1,gtx plus basic,sunnamplex,lost,2016-11-21,2017-03-17,0.0
7FQMSWIX,mg special,bioplex,won,2016-11-22,2017-03-04,62.0
C20AVXN7,gtxpro,gogozoom,won,2016-11-22,2017-03-14,4359.0
GS1QVWCR,gtx basic,plusstrip,won,2016-11-22,2017-03-31,566.0
ZWH8FXY3,gtx basic,toughzap,won,2016-11-22,2017-03-03,508.0
2U94Y3Q9,mg advanced,vehement capital partners,lost,2016-11-22,2017-03-20,0.0
AAR79NOO,mg special,codehow,won,2016-11-22,2017-03-11,51.0
B6B0PNR2,gtxpro,dalttechnology,won,2016-11-22,2017-03-05,4899.0
M7I5O9YU,gtx basic,cheers,engaging,2016-11-23,,
LXZA2OSZ,gtx plus pro,ontomedia,won,2016-11-23,2017-03-03,5790.0
N0ONCYVZ,mg special,kinnamplus,lost,2016-11-23,2017-03-30,0.0
GYB4W2AU,mg advanced,,engaging,2016-11-23,,
513DPFX5,gtxpro,codehow,won,2016-11-23,2017-03-03,4438.0
RU023K5W,mg advanced,finhigh,won,2016-11-23,2017-03-17,2972.0
VDIU10RV,mg special,lexiqvolax,engaging,2016-11-23,,
BZCBQ514,gtx basic,y corporation,won,2016-11-23,2017-03-01,523.0
HEE6P0QH,mg advanced,statholdings,won,2016-11-24,2017-03-25,3647.0
L8CHRJ2B,mg advanced,umbrella corporation,won,2016-11-24,2017-03-01,4200.0
579LZ3F9,gtx plus basic,j texon,engaging,2016-11-24,,
SU8JNMP4,gtx plus basic,bubba gump,engaging,2016-11-24,,
V2X2KMUR,gtx plus basic,faxquote,won,2016-11-24,2017-03-28,1059.0
AJIPJP75,gtx plus basic,codehow,lost,2016-11-24,2017-03-05,0.0
NYVA2G6U,mg special,dontechi,won,2016-11-24,2017-03-02,57.0
FF45BXTL,mg advanced,konex,won,2016-11-24,2017-03-27,3671.0
TTA9LYBS,mg special,treequote,won,2016-11-25,2017-03-01,58.0
PAGZQH8L,mg advanced,treequote,won,2016-11-25,2017-03-06,3956.0
J7YF6DS7,gtx plus pro,betasoloin,won,2016-11-25,2017-03-01,5964.0
S5IXY4Z9,gtxpro,betasoloin,won,2016-11-25,2017-03-06,4570.0
JQBJMETQ,mg special,domzoom,won,2016-11-25,2017-03-27,49.0
0LVWSWEW,mg special,donquadtech,won,2016-11-25,2017-03-06,65.0
K53BC1T9,mg special,domzoom,lost,2016-11-26,2017-03-27,0.0
D40N5I9Y,gtxpro,finhigh,won,2016-11-26,2017-03-08,4739.0
051QTX8Z,gtx plus basic,globex corporation,won,2016-11-26,2017-03-21,1080.0
5D2XH04S,mg special,plussunin,won,2016-11-26,2017-03-12,57.0
V9E582SK,gtx basic,konex,won,2016-11-27,2017-03-16,469.0
UK0LEZRJ,gtx basic,condax,won,2016-11-27,2017-03-03,532.0
PFFHM7HR,mg advanced,opentech,engaging,2016-11-27,,
IT10CFQH,gtx basic,konex,won,2016-11-27,2017-03-26,538.0
8VKD2CCH,gtxpro,massive dynamic,won,2016-11-27,2017-03-21,4829.0
2XQAKBXH,gtx plus pro,doncon,won,2016-11-27,2017-03-11,5370.0
7G7YLGJO,gtx plus pro,hatfan,won,2016-11-27,2017-03-21,6499.0
GCA97W27,gtx plus basic,genco pura olive oil company,won,2016-11-28,2017-03-06,1161.0
K8FUZHOG,gtx basic,scotfind,won,2016-11-28,2017-03-26,576.0
5WJZMULK,gtx plus basic,hatfan,won,2016-11-28,2017-03-19,979.0
ZPYD4T9W,mg special,stanredtax,won,2016-11-28,2017-03-07,43.0
KE9ZEDS8,mg special,scottech,won,2016-11-29,2017-03-07,57.0
7KK0HQ4C,mg special,ron tech,lost,2016-11-29,2017-03-28,0.0
FP7014Z0,gtx plus basic,funholding,won,2016-11-29,2017-03-12,948.0
N4HFHDMW,mg advanced,plussunin,won,2016-11-29,2017-03-10,3012.0
2HFLKREC,mg advanced,zotware,won,2016-11-30,2017-03-15,3665.0
7JVTTVCO,gtx basic,gekko co,won,2016-11-30,2017-03-24,564.0
3X13866U,gtx plus basic,dambase,lost,2016-12-01,2017-03-06,0.0
7LE19SYE,mg advanced,initech,won,2016-12-01,2017-03-22,3463.0
J5V2M7Y1,gtx basic,gekko co,won,2016-12-01,2017-03-26,513.0
41MURAI5,gtx basic,konex,won,2016-12-01,2017-03-28,590.0
QHI8WRIA,gtxpro,dontechi,won,2016-12-01,2017-03-30,4511.0
AJXAXV4W,mg advanced,finhigh,lost,2016-12-01,2017-03-02,0.0
VPDXX5PJ,gtx basic,cancity,won,2016-12-01,2017-03-26,546.0
PZB9NUK8,mg special,y corporation,won,2016-12-01,2017-03-05,46.0
A0ANOYPF,gtxpro,ron tech,won,2016-12-02,2017-03-09,4891.0
0P4AAPYX,gtx plus basic,golddex,won,2016-12-02,2017-03-03,1040.0
O6T5WC3W,gtx plus basic,sonron,won,2016-12-02,2017-03-04,1108.0
0NO04P6C,mg special,nam zim,won,2016-12-02,2017-03-04,59.0
22OFSXBT,gtxpro,statholdings,won,2016-12-02,2017-03-30,5406.0
MRXZTMM6,gtx basic,cheers,won,2016-12-02,2017-03-20,515.0
LGI8QEC2,gtx basic,treequote,won,2016-12-02,2017-03-06,583.0
6KZ0NCFX,mg special,funholding,won,2016-12-02,2017-03-14,54.0
3SF8O9S6,mg special,plusstrip,won,2016-12-02,2017-03-27,60.0
CNM0H9FR,gtx basic,,engaging,2016-12-02,,
XK668R7C,gtx basic,dontechi,lost,2016-12-03,2017-03-12,0.0
TZCAQWL3,gtxpro,funholding,lost,2016-12-03,2017-03-19,0.0
BADC6A9H,gtx basic,globex corporation,won,2016-12-03,2017-03-23,516.0
B8E0UUZR,gtxpro,rangreen,won,2016-12-03,2017-03-22,4829.0
I043RXJV,gtx plus basic,dontechi,lost,2016-12-03,2017-03-17,0.0
MWWB44CC,gtx plus basic,donquadtech,won,2016-12-03,2017-03-02,950.0
HBTINPDG,gtx plus basic,xx holding,lost,2016-12-03,2017-03-09,0.0
DZ3KHZSX,gtx basic,initech,won,2016-12-04,2017-03-20,513.0
3W1K7X5F,gtxpro,condax,lost,2016-12-04,2017-03-09,0.0
45A57X68,gtx plus pro,ron tech,won,2016-12-04,2017-03-12,5522.0
9SLYC4TR,mg special,cancity,won,2016-12-04,2017-03-09,56.0
JLWKWQYC,gtxpro,doncon,won,2016-12-04,2017-03-08,5673.0
7QC6FOKW,gtx basic,xx holding,won,2016-12-04,2017-03-10,598.0
XA184CMW,gtx plus pro,rangreen,won,2016-12-04,2017-03-16,5787.0
S0N7BYU3,gtx plus basic,singletechno,won,2016-12-04,2017-03-08,1070.0
6WOMHAJM,mg advanced,donquadtech,won,2016-12-05,2017-03-14,3677.0
G1QGATKV,gtx plus pro,ontomedia,won,2016-12-05,2017-03-30,5425.0
UAE5ZC7O,gtx plus pro,,engaging,2016-12-05,,
6XFVQI32,mg advanced,yearin,won,2016-12-05,2017-03-23,3415.0
JUCNIG4H,gtx basic,,engaging,2016-12-05,,
OGD4MDJ9,gtx plus basic,lexiqvolax,won,2016-12-05,2017-03-21,891.0
4NGBUZWJ,gtx basic,codehow,won,2016-12-06,2017-03-12,609.0
EFG5DGV5,mg special,plusstrip,won,2016-12-06,2017-03-16,54.0
82MM4H33,gtx plus basic,labdrill,won,2016-12-06,2017-03-09,1049.0
14PM641K,gtx plus basic,gekko co,won,2016-12-07,2017-03-07,1152.0
DSBGHOPN,mg special,plussunin,lost,2016-12-07,2017-03-20,0.0
1YSOZLHF,gtxpro,umbrella corporation,won,2016-12-07,2017-03-28,4799.0
E8RP9FRW,mg special,dambase,won,2016-12-07,2017-03-12,51.0
787IRG9Q,mg advanced,j texon,won,2016-12-07,2017-03-03,3426.0
0TUS4NAC,mg special,rangreen,won,2016-12-07,2017-03-11,51.0
FAJTQMUM,gtx basic,finjob,won,2016-12-07,2017-03-20,564.0
TWF0J0DF,gtx plus pro,isdom,won,2016-12-08,2017-03-01,5882.0
ICMXZOVL,gtxpro,stanredtax,engaging,2016-12-08,,
UQ14O415,gtxpro,plussunin,won,2016-12-08,2017-03-20,5059.0
IBEUTCSW,mg advanced,,engaging,2016-12-08,,
O3KC8QI8,gtx plus basic,,engaging,2016-12-08,,
BOJSLNDG,mg advanced,singletechno,won,2016-12-08,2017-03-11,3388.0
WALNFJ70,gtx plus pro,,engaging,2016-12-08,,
DASMR0EK,gtx plus pro,zoomit,won,2016-12-08,2017-03-10,5410.0
A76M0OOH,gtx plus basic,zathunicon,won,2016-12-08,2017-03-28,978.0
E1VKE2PH,mg special,scotfind,won,2016-12-08,2017-03-26,54.0
SKY95DVG,mg special,betatech,lost,2016-12-09,2017-03-22,0.0
V5OK4V5I,gtx basic,bubba gump,won,2016-12-09,2017-03-14,549.0
GJ4L5HHN,gtx plus basic,mathtouch,won,2016-12-09,2017-03-14,1034.0
9R8JWY3J,gtxpro,vehement capital partners,won,2016-12-09,2017-03-03,4998.0
0EOFVU05,mg advanced,ontomedia,won,2016-12-09,2017-03-28,3421.0
HNHOPL7M,gtx plus pro,doncon,won,2016-12-09,2017-03-04,5425.0
Y0NYI17R,mg special,dalttechnology,won,2016-12-09,2017-03-15,55.0
R4F4RGAL,mg advanced,silis,won,2016-12-09,2017-03-14,3558.0
MNVMY83P,gtxpro,plussunin,engaging,2016-12-10,,
0ZHLQFGU,gtxpro,blackzim,won,2016-12-10,2017-03-22,4839.0
40DPY158,mg special,hottechi,won,2016-12-10,2017-03-25,47.0
DP9E525R,gtx plus basic,fasehatice,won,2016-12-10,2017-03-24,1007.0
DBDUMQQK,mg special,inity,won,2016-12-10,2017-03-24,48.0
CNBN12RL,mg special,treequote,won,2016-12-10,2017-03-07,49.0
OXL0YWEE,gtx basic,mathtouch,won,2016-12-10,2017-03-18,504.0
ZOBJHMAF,mg advanced,,engaging,2016-12-11,,
KD6MB4AP,mg special,,engaging,2016-12-11,,
5CSSZJF4,gtx basic,finhigh,won,2016-12-11,2017-03-21,543.0
0XG8TOJF,gtx plus pro,fasehatice,lost,2016-12-11,2017-03-18,0.0
IIS0O91J,gtxpro,fasehatice,won,2016-12-11,2017-03-28,5149.0
2LP5SUR5,gtx basic,treequote,lost,2016-12-11,2017-03-09,0.0
PYZZ3IS6,gtx plus basic,blackzim,won,2016-12-11,2017-03-11,1043.0
5I4K5TQE,gtx plus pro,sumace,lost,2016-12-12,2017-03-09,0.0
RV3LPOYP,gtx basic,condax,won,2016-12-12,2017-03-29,437.0
A194RP0I,mg advanced,,engaging,2016-12-12,,
1HVNTEPV,gtxpro,kinnamplus,won,2016-12-12,2017-03-11,4465.0
LC85AQ1I,gtx basic,konex,won,2016-12-12,2017-03-18,443.0
TBV972NP,mg special,sumace,lost,2016-12-12,2017-03-23,0.0
EJMX0EIJ,gtx plus pro,betatech,won,2016-12-13,2017-03-20,4278.0
VR9NYBOV,mg special,kinnamplus,won,2016-12-13,2017-03-06,41.0
3U25FK08,gtx basic,isdom,won,2016-12-13,2017-03-28,519.0
KV2OFRJT,gtxpro,,engaging,2016-12-13,,
CRLK4Z1P,gtx basic,kan code,won,2016-12-13,2017-03-04,524.0
OGENAT0L,gtx basic,singletechno,won,2016-12-13,2017-03-27,552.0
F57JWIDF,gtx plus basic,konmatfix,won,2016-12-14,2017-03-02,970.0
ERFRHR3Z,mg advanced,,engaging,2016-12-14,,
J53D8EOL,gtx plus basic,hottechi,engaging,2016-12-14,,
LF8JZ3Q5,gtx plus basic,hatfan,won,2016-12-14,2017-03-13,1046.0
MRGBSMQ5,gtx plus basic,sunnamplex,won,2016-12-14,2017-03-14,988.0
CBAV8ZJL,gtx basic,codehow,won,2016-12-14,2017-03-22,547.0
J32XDDAW,gtx basic,,engaging,2016-12-14,,
NN4DWBVN,gtxpro,singletechno,lost,2016-12-14,2017-03-04,0.0
6JXHEZYK,mg special,isdom,won,2016-12-14,2017-03-31,54.0
WDHNR2EI,mg special,silis,won,2016-12-14,2017-03-20,57.0
4K750D6F,mg special,yearin,won,2016-12-14,2017-03-18,55.0
94GI0ZJ7,gtx plus pro,stanredtax,won,2016-12-15,2017-03-15,5765.0
TODG6DEK,gtx basic,bioplex,won,2016-12-15,2017-03-16,639.0
G0ECB8FS,gtxpro,labdrill,won,2016-12-15,2017-03-15,5100.0
1ZDDZD8B,mg special,,engaging,2016-12-15,,
96MZYUY0,gtxpro,fasehatice,won,2016-12-15,2017-03-07,4906.0
EZVKSQ9C,gtx plus pro,genco pura olive oil company,engaging,2016-12-16,,
RJYG004O,gtx basic,domzoom,engaging,2016-12-16,,
JZOKHHWN,gtx plus basic,opentech,won,2016-12-16,2017-03-07,1037.0
EH6I67I0,gtx basic,plexzap,won,2016-12-16,2017-03-15,537.0
JUUXF02Z,gtxpro,hatfan,won,2016-12-16,2017-03-09,4694.0
OT87JDWO,gtx basic,konmatfix,won,2016-12-16,2017-03-24,560.0
YHKT6YJ7,gtx basic,dambase,won,2016-12-16,2017-03-13,589.0
H78I3TAY,gtx basic,mathtouch,won,2016-12-16,2017-03-14,493.0
1ROC43JK,mg special,betatech,won,2016-12-16,2017-03-08,50.0
LPZLQL48,gtx basic,y corporation,won,2016-12-16,2017-03-28,492.0
PYOFK7ZD,gtx basic,,engaging,2016-12-17,,
DWUXMAGZ,gtx plus pro,,engaging,2016-12-17,,
3KR50X38,gtx plus basic,konex,won,2016-12-17,2017-03-13,1255.0
Q3WLHRE9,gtx basic,statholdings,won,2016-12-17,2017-03-04,463.0
IX7UEOAP,gtx plus basic,initech,lost,2016-12-17,2017-03-27,0.0
NQU62K1H,gtx basic,zencorporation,won,2016-12-17,2017-03-12,605.0
NAQKOU0T,gtx plus basic,fasehatice,won,2016-12-17,2017-03-20,1315.0
I3V3GUAI,gtx basic,zumgoity,won,2016-12-17,2017-03-02,559.0
PN4VJDXY,gtx basic,rundofase,won,2016-12-17,2017-03-28,557.0
K9D4DQ3R,mg special,vehement capital partners,won,2016-12-17,2017-03-02,48.0
9X6V79KE,gtx plus pro,isdom,won,2016-12-17,2017-03-25,6282.0
6SN2RQJX,mg special,,engaging,2016-12-17,,
W1KLFNE4,mg advanced,isdom,won,2016-12-18,2017-03-02,3246.0
NKPH3EFG,mg advanced,,engaging,2016-12-18,,
GD2OCW12,gtx basic,finhigh,won,2016-12-18,2017-03-14,514.0
6XO4RYXK,gtx plus basic,silis,won,2016-12-18,2017-03-15,1132.0
18Y7GRPW,gtx plus pro,silis,won,2016-12-18,2017-03-21,5918.0
127ZPLXQ,gtxpro,hottechi,lost,2016-12-18,2017-03-18,0.0
U07C2HEG,mg special,kan code,lost,2016-12-18,2017-03-14,0.0
RNTOJ78L,mg special,hatfan,lost,2016-12-18,2017-03-13,0.0
N07K7DR7,mg special,plexzap,engaging,2016-12-18,,
NLB4D5BQ,mg advanced,gogozoom,won,2016-12-18,2017-03-24,2955.0
FCFDJIEZ,gtxpro,fasehatice,won,2016-12-18,2017-03-21,3742.0
YZGDW4G1,mg special,initech,won,2016-12-18,2017-03-14,64.0
G8AO5FA2,mg advanced,initech,lost,2016-12-18,2017-03-27,0.0
125VIRMX,gtk 500,warephase,engaging,2016-12-19,,
LXXW3TRW,gtx plus basic,scotfind,won,2016-12-19,2017-03-18,1164.0
8KJ3H262,mg special,singletechno,won,2016-12-19,2017-03-07,65.0
88POGNEL,gtx plus basic,cancity,lost,2016-12-19,2017-03-07,0.0
UYP3NNU6,gtx basic,groovestreet,won,2016-12-19,2017-03-16,441.0
S1V8684Y,gtx plus basic,finhigh,lost,2016-12-19,2017-03-12,0.0
MOPWEMB5,gtxpro,hatfan,won,2016-12-19,2017-03-16,4907.0
L62MDI48,mg advanced,isdom,lost,2016-12-20,2017-03-01,0.0
3ECHUPQY,gtx plus basic,,engaging,2016-12-20,,
3EL8D4WO,mg advanced,codehow,won,2016-12-20,2017-03-25,3269.0
VOAN1NXG,gtx basic,kinnamplus,won,2016-12-20,2017-03-12,579.0
ALW92XQL,gtx basic,isdom,lost,2016-12-20,2017-03-25,0.0
TJ6ZA1M3,gtx basic,dalttechnology,lost,2016-12-20,2017-03-07,0.0
FKAFO8O9,mg special,xx holding,won,2016-12-20,2017-03-31,51.0
1XBC7M9F,mg special,faxquote,won,2016-12-20,2017-03-08,64.0
8IXBS90G,mg special,donware,won,2016-12-20,2017-03-08,60.0
2X45BEOS,gtx plus basic,ganjaflex,won,2016-12-21,2017-03-27,1186.0
EQ8X0QTL,mg advanced,yearin,won,2016-12-21,2017-03-09,3577.0
5QD53WHF,gtx plus basic,donquadtech,won,2016-12-21,2017-03-07,1020.0
K5CWSFCW,gtxpro,blackzim,engaging,2016-12-21,,
79EABK3X,mg special,zoomit,won,2016-12-21,2017-03-23,53.0
2DKO9X1T,gtx basic,rundofase,lost,2016-12-21,2017-03-10,0.0
IBDEQVBN,gtx basic,faxquote,lost,2016-12-21,2017-03-28,0.0
QZ3VV4C1,gtxpro,sunnamplex,won,2016-12-21,2017-03-08,4719.0
62AK8UWX,gtx basic,codehow,won,2016-12-21,2017-03-22,546.0
5QM4ORNT,gtx plus basic,domzoom,won,2016-12-21,2017-03-21,1212.0
4H2QMS78,gtx basic,,engaging,2016-12-21,,
S91N9YBL,gtx basic,sunnamplex,lost,2016-12-21,2017-03-08,0.0
44H0FJMH,gtx plus pro,bioholding,lost,2016-12-22,2017-03-27,0.0
N5AZLQZR,gtx plus pro,dontechi,won,2016-12-22,2017-03-14,5533.0
4T295XQL,mg advanced,finjob,won,2016-12-22,2017-03-01,3295.0
YFS5KLJJ,mg special,finjob,won,2016-12-22,2017-03-31,45.0
S8GLKDB9,mg special,bioplex,won,2016-12-22,2017-03-04,56.0
SQLYCFGV,gtxpro,opentech,engaging,2016-12-22,,
EUG019AS,gtx basic,,engaging,2016-12-23,,
IE7VQ5BA,gtx plus basic,finhigh,engaging,2016-12-23,,
01QKN578,gtxpro,funholding,won,2016-12-23,2017-03-20,4247.0
M0JKP0HT,mg advanced,isdom,won,2016-12-23,2017-03-13,3440.0
ZC3KKSUK,gtxpro,plexzap,won,2016-12-23,2017-03-02,5040.0
3X8VLQ5G,gtx basic,cancity,won,2016-12-23,2017-03-12,469.0
EZLXL6GL,mg special,isdom,won,2016-12-23,2017-03-07,58.0
R8PEL8V8,mg advanced,isdom,won,2016-12-24,2017-03-16,2955.0
L1R32S8H,gtx plus pro,condax,won,2016-12-24,2017-03-26,5228.0
J7N8J8NM,mg advanced,toughzap,won,2016-12-24,2017-03-14,3358.0
TO7PGVP1,gtx plus pro,green plus,lost,2016-12-24,2017-03-29,0.0
A051G1B4,gtx basic,codehow,won,2016-12-24,2017-03-31,517.0
NMDMM5YJ,gtx basic,dontechi,won,2016-12-24,2017-03-03,615.0
LWPJEV3U,gtx basic,domzoom,lost,2016-12-24,2017-03-10,0.0
I93ZFHEM,mg special,condax,won,2016-12-24,2017-03-08,62.0
B2VJCVBB,gtx plus pro,isdom,won,2016-12-25,2017-03-13,4711.0
F90O03ZH,gtxpro,kinnamplus,lost,2016-12-25,2017-03-23,0.0
PC78RLUX,gtx basic,yearin,won,2016-12-25,2017-03-30,510.0
X6GL64T5,gtxpro,warephase,won,2016-12-25,2017-03-25,4891.0
OWM3BPGW,gtx plus basic,green plus,won,2016-12-25,2017-03-17,926.0
RP5PS9A5,mg special,betatech,won,2016-12-25,2017-03-10,56.0
AI76U58A,gtx basic,treequote,engaging,2016-12-25,,
KFPM2LJW,gtx basic,,engaging,2016-12-25,,
F2PW7WP2,mg special,ontomedia,won,2016-12-25,2017-03-05,47.0
GK8YD2XW,gtx basic,rangreen,lost,2016-12-26,2017-03-23,0.0
U4LRR9E9,gtx plus pro,nam zim,won,2016-12-26,2017-03-10,6490.0
B00UMAV4,mg advanced,gogozoom,engaging,2016-12-26,,
C8TV7R8A,gtxpro,,engaging,2016-12-26,,
9N55D1AH,mg advanced,treequote,won,2016-12-26,2017-03-02,3841.0
2VCDVCIZ,gtx basic,,engaging,2016-12-27,,
WI4PODA2,gtx plus pro,faxquote,won,2016-12-27,2017-03-15,5256.0
VF1V41RI,mg special,kan code,lost,2016-12-27,2017-03-28,0.0
1B4L7TNG,mg advanced,sonron,lost,2016-12-27,2017-03-25,0.0
MZAN11FT,gtx basic,conecom,won,2016-12-28,2017-03-01,625.0
0U3WVJO0,gtxpro,,engaging,2016-12-28,,
0IO00FNS,gtxpro,warephase,lost,2016-12-28,2017-03-16,0.0
8S6TNXYB,gtxpro,conecom,won,2016-12-28,2017-03-22,3952.0
PMMW9JX3,gtx basic,,engaging,2016-12-28,,
MOLGOSGE,gtx plus pro,konex,won,2016-12-28,2017-03-13,5515.0
FA1VHZSV,mg special,vehement capital partners,won,2016-12-28,2017-03-16,57.0
PXQEX039,mg special,konmatfix,won,2016-12-28,2017-03-28,51.0
RX56S6G3,mg advanced,fasehatice,won,2016-12-28,2017-03-13,3803.0
G4F8W039,gtx plus pro,rundofase,won,2016-12-29,2017-03-27,5459.0
4T31MWVO,mg advanced,stanredtax,won,2016-12-29,2017-03-23,4148.0
2HT2R2GY,gtx plus pro,,engaging,2016-12-29,,
83XN082U,gtx plus pro,ganjaflex,won,2016-12-29,2017-03-23,5002.0
J21W3WIW,mg advanced,gekko co,won,2016-12-29,2017-03-03,3351.0
52UPJFYI,gtx basic,domzoom,won,2016-12-29,2017-03-19,571.0
QOL51JIB,gtx basic,goodsilron,won,2016-12-29,2017-03-10,601.0
13GM5I6M,gtxpro,,engaging,2016-12-29,,
93AGN8A6,gtx basic,zoomit,won,2016-12-29,2017-03-13,576.0
J7UNJFJL,mg special,funholding,won,2016-12-29,2017-03-03,52.0
A4H5ESTU,gtx plus basic,fasehatice,won,2016-12-29,2017-03-13,1185.0
8EZ04VQB,gtx plus basic,gekko co,lost,2016-12-29,2017-03-28,0.0
4501T63I,mg special,plexzap,won,2016-12-29,2017-03-14,56.0
9IA34L8S,gtx basic,,engaging,2016-12-29,,
FPNGEJRC,mg special,opentech,won,2016-12-29,2017-03-29,54.0
S33WRL0Y,gtxpro,xx holding,won,2016-12-29,2017-03-13,4818.0
Q7IRUJK7,gtx plus pro,codehow,won,2017-01-01,2017-03-01,5087.0
